date,open,high,low,close,volume
17/06/2011,26.87,27.7,26.14,26.5,1714000
20/06/2011,26.29,26.46,25.5,26.01,1537800
21/06/2011,26.24,27.73,26,27.53,1496000
22/06/2011,27.37,28.25,27.1,27.21,1475600
23/06/2011,27.2,27.72,26.21,27.71,1170000
24/06/2011,27.64,27.97,27.26,27.565,3608500
27/06/2011,27.73,28.28,27.31,27.46,1809400
28/06/2011,27.79,28.25,27.67,28.11,889200
29/06/2011,28.5,29.09,28.07,28.29,1461800
30/06/2011,28.5,29.33,28.4,29.13,946700
01/07/2011,29.07,29.6,28.8,29.02,854900
05/07/2011,29.02,29.52,28.71,29.14,996000
06/07/2011,29.14,29.14,28.55,28.96,926900
07/07/2011,29.14,30,29.01,29.73,1327900
08/07/2011,29.89,29.89,28.59,28.81,1240600
11/07/2011,28.4,28.53,28,28.35,975800
12/07/2011,28.37,29.09,28,28.17,1045400
13/07/2011,28.43,29.03,27.9,28.64,1066000
14/07/2011,28.53,28.96,27.25,27.61,1159000
15/07/2011,27.79,27.83,27.4,27.58,709000
18/07/2011,27.34,27.45,26.63,27.23,851900
19/07/2011,27.58,28.11,27.54,27.89,1026100
20/07/2011,28,30.44,27.8,28.69,3048300
21/07/2011,28.91,29.16,28.1,28.7,1011500
22/07/2011,28.7,29.54,28.5509,29.29,583500
25/07/2011,29.01,29.25,28.44,28.49,673300
26/07/2011,28.31,28.77,27.97,28,760600
27/07/2011,28.5,28.5,27.51,27.64,958500
28/07/2011,27.6,28.55,27.54,28.17,938700
29/07/2011,27.8,28.4,27.5,28.17,948200
01/08/2011,28.67,28.98,28.21,28.77,1164900
02/08/2011,28.69,29.2,27.27,27.34,1549400
03/08/2011,27.5,27.83,26.336,27.2,1794500
04/08/2011,26.51,26.89,24.67,24.75,3064500
05/08/2011,24.99,25.38,22.83,24.24,1964400
08/08/2011,23.1,24.44,23.1,23.64,2608500
09/08/2011,24.15,25.45,23.7,25.06,1333400
10/08/2011,25.44,25.44,23.63,23.82,1564200
11/08/2011,24.04,25.75,24,25.3,836500
12/08/2011,25.6,27.14,25.36,26.31,1009100
15/08/2011,26.62,26.75,25.93,26.23,738600
16/08/2011,26.13,26.54,25.83,26.1,537700
17/08/2011,26.39,26.65,25.51,25.83,643700
18/08/2011,25,25.15,23.47,24.26,1056600
19/08/2011,23.86,24.22,22,22.3,1375300
22/08/2011,23.11,23.8,21.68,21.95,986100
23/08/2011,21.93,23.11,21.5,22.96,869000
24/08/2011,23.1,23.93,22.83,23.87,684300
25/08/2011,23.87,23.87,22.9,23.11,679800
26/08/2011,22.71,23.95,22.07,23.73,761800
29/08/2011,24.22,24.85,24.02,24.71,803400
30/08/2011,24.5,24.77,24.09,24.63,366200
31/08/2011,24.8,25.5,24.28,24.74,823800
01/09/2011,24.66,24.87,23.835,24,848100
02/09/2011,23.66,23.99,22.68,23.07,769900
06/09/2011,22.5,23.2,22.29,22.94,809800
07/09/2011,23.39,24,23.28,23.84,459200
08/09/2011,23.58,24.03,23.28,23.61,505700
09/09/2011,23.37,23.57,22.55,22.97,669300
12/09/2011,22.735,23.31,22.45,22.88,566600
13/09/2011,23.01,24.1,22.75,24.08,726500
14/09/2011,24.25,24.84,23.79,24.34,830800
15/09/2011,24.58,24.93,24.33,24.82,562600
16/09/2011,24.78,25.84,24.49,25.8,1417100
19/09/2011,24.95,25.81,23.82,25.77,1157400
20/09/2011,25.98,26.6,25.67,26.01,1180400
21/09/2011,25.95,26.95,25.7,25.85,987600
22/09/2011,25.64,26.11,24.88,25.63,775800
23/09/2011,25.49,26.62,25.35,26.38,1156400
26/09/2011,26.52,26.52,24.9,25.52,934800
27/09/2011,26,26.99,25.57,26.19,674500
28/09/2011,26,26.5,24.51,24.59,723300
29/09/2011,25.72,25.82,23.55,24.12,929600
30/09/2011,24.8,24.89,23.49,24.39,1336100
03/10/2011,24.95,25,23.25,23.73,1023200
04/10/2011,23.29,24.32,22.93,23.66,1200300
05/10/2011,24.03,25.835,23.35,25.37,1229500
06/10/2011,25.37,27.6,25.02,26.96,1769100
07/10/2011,26.98,27.6,26.05,26.99,1311600
10/10/2011,27.31,28.18,27,27.88,923500
11/10/2011,27.51,27.77,27.09,27.61,575700
12/10/2011,27.25,28,27.2,27.8,1123400
13/10/2011,27.63,28.47,27.44,27.94,1043500
14/10/2011,28,28.55,27.26,28.05,1400500
17/10/2011,27.86,28,27.2601,27.42,754500
18/10/2011,27.3,28.4275,26.71,28.34,999700
19/10/2011,28.02,28.06,27.3,27.57,792900
20/10/2011,27.44,27.47,27,27.34,999700
21/10/2011,27.4,28.3,27.01,28.03,1142600
24/10/2011,27.87,28.89,27.75,28.55,940600
25/10/2011,28.23,28.86,27.8,28.25,654400
26/10/2011,28.19,28.37,27.4,27.98,510500
27/10/2011,28.34,28.95,28.11,28.76,869400
28/10/2011,28.5,30,28.01,29.87,1264000
31/10/2011,29.5,29.51,28.75,29.37,1134000
01/11/2011,28.39,28.92,28,28.88,635200
02/11/2011,29,29.26,28.25,28.71,875300
03/11/2011,30,32.49,29.53,32.46,2509700
04/11/2011,31.46,32.4,30.51,32.31,3032900
07/11/2011,31.64,32,30.75,31.27,1266300
08/11/2011,31.37,32,30.72,31.84,1167900
09/11/2011,30.87,31.49,30.3,30.88,953700
10/11/2011,30.94,31.5,30.65,31.33,747300
11/11/2011,31.9,34.5,30.57,33.64,3868300
14/11/2011,33,33.54,32.62,33.22,1325700
15/11/2011,32.92,34.4,32.73,33.93,891000
16/11/2011,33.48,35,33.4029,34.94,1833200
17/11/2011,34.5,34.9,33.19,33.68,1349300
18/11/2011,33.64,34.11,32.54,32.6,902800
21/11/2011,32.44,32.44,31.05,31.76,1031600
22/11/2011,31.76,32.79,31.05,32.07,732600
23/11/2011,31.76,32.05,31.25,31.45,451800
25/11/2011,31.55,32.41,31.08,31.66,239600
28/11/2011,32,33.28,31.81,32.56,681200
29/11/2011,32.49,33.07,31.63,31.75,591100
30/11/2011,32.5,32.93,32.22,32.74,760300
01/12/2011,32.57,33.99,31.98,32.6,1030200
02/12/2011,32.83,33.69,32.4,33.3,802800
05/12/2011,33.53,35,33.4301,34.42,1160100
06/12/2011,34.2,34.98,34.031,34.87,951800
07/12/2011,34.63,34.89,33.8,34.19,674300
08/12/2011,30.84,31.65,29.61,30.89,3305800
09/12/2011,30.54,31.12,30.28,31.04,1239500
12/12/2011,30.44,30.62,30.02,30.41,758700
13/12/2011,30.57,30.93,28.911,29.45,994100
14/12/2011,29.5,29.68,28,28.53,1163900
15/12/2011,28.67,29.17,28.12,28.62,700300
16/12/2011,28.79,28.93,27.98,28,1029700
19/12/2011,28.09,28.5,27.37,27.75,987000
20/12/2011,28.05,28.45,27.715,27.9,843300
21/12/2011,27.91,28.07,26.03,27.57,1705500
22/12/2011,27.6,28.05,27.3,27.77,1009400
23/12/2011,28,28,27.52,27.9,591400
